,State_Name,DFSI
Khunti,JHARKHAND,10.05509462
Bokaro,JHARKHAND,10.05256047
Nagarkurnool,TELANGANA,10.02790622
Anuppur,MADHYA PRADESH,9.990783933
Mahabubabad,TELANGANA,9.98365425
Wanaparthy,TELANGANA,9.983597436
Nirmal,TELANGANA,9.977770353
Bametara,CHHATTISGARH,9.955955489
Mirpur,JAMMU & KASHMIR,9.948679415
Pakur,JHARKHAND,9.940192955
Nuh,HARYANA,9.922296093
Kalimpong,WEST BENGAL,9.916650214
Lohardaga,JHARKHAND,9.906912665
Suryapet,TELANGANA,9.901334244
Kolasib,MIZORAM,9.878909712
West Jaintia Hills,MEGHALAYA,9.874314593
Yadadri Bhuvanagiri,TELANGANA,9.860874627
Peddapalli,TELANGANA,9.845408483
Upper Dibang Valley,ARUNACHAL PRADESH,9.841545884
Saiha,MIZORAM,9.83880429
Mahendragarh,HARYANA,9.834091081
Imphal West,MANIPUR,9.824765631
